Time,I,Q
51:07.8,524,524
51:07.8,522,523
51:07.8,519,519
51:07.8,522,522
51:07.8,523,525
51:07.8,520,523
51:07.8,521,524
51:07.8,526,520
51:07.8,523,522
51:07.8,529,525
51:07.8,522,523
51:07.8,519,523
51:07.8,524,523
51:07.8,522,521
51:07.9,525,520
51:07.9,520,522
51:07.9,524,526
51:07.9,517,522
51:07.9,521,520
51:07.9,522,521
51:07.9,527,517
51:07.9,523,523
51:07.9,524,517
51:07.9,531,521
51:07.9,520,521
51:07.9,525,520
51:07.9,524,520
51:07.9,522,522
51:07.9,518,517
51:07.9,525,521
51:07.9,529,525
51:07.9,527,519
51:07.9,522,518
51:07.9,524,519
51:07.9,522,520
51:07.9,522,522
51:07.9,517,522
51:07.9,520,523
51:07.9,520,521
51:07.9,523,523
51:07.9,524,521
51:07.9,526,521
51:07.9,524,520
51:07.9,523,520
51:07.9,526,522
51:07.9,524,520
51:07.9,524,520
51:07.9,523,519
51:07.9,525,520
51:07.9,524,522
51:07.9,523,518
51:07.9,525,520
51:07.9,524,521
51:07.9,528,520
51:08.0,525,520
51:08.0,521,526
51:08.0,520,525
51:08.0,518,524
51:08.0,518,519
51:08.0,530,521
51:08.0,525,521
51:08.0,523,524
51:08.0,522,522
51:08.0,523,520
51:08.0,526,522
51:08.0,528,521
51:08.0,527,520
51:08.0,528,520
51:08.0,527,522
51:08.0,520,520
51:08.0,528,523
51:08.0,520,522
51:08.0,527,526
51:08.0,522,522
51:08.0,522,518
51:08.0,531,524
51:08.0,525,526
51:08.0,516,525
51:08.0,523,522
51:08.0,528,523
51:08.0,528,525
51:08.0,523,524
51:08.0,518,524
51:08.0,521,524
51:08.0,518,526
51:08.0,516,529
51:08.0,516,526
51:08.0,516,517
51:08.0,520,522
51:08.0,522,520
51:08.0,520,526
51:08.0,519,523
51:08.0,520,523
51:08.0,522,523
51:08.0,522,524
51:08.1,521,527
51:08.1,521,520
51:08.1,524,524
51:08.1,518,522
51:08.1,519,521
51:08.1,522,522
51:08.1,514,520
51:08.1,526,520
51:08.1,519,521
51:08.1,523,518
51:08.1,525,520
51:08.1,523,521
51:08.1,524,523
51:08.1,520,521
51:08.1,524,519
51:08.1,525,519
51:08.1,517,519
51:08.1,527,520
51:08.1,519,519
51:08.1,519,518
51:08.1,526,522
51:08.1,523,520
51:08.1,519,520
51:08.1,521,518
51:08.1,521,522
51:08.1,521,518
51:08.1,521,519
51:08.1,514,518
51:08.1,523,514
51:08.1,529,521
51:08.1,523,522
51:08.1,518,523
51:08.1,518,518
51:08.1,524,522
51:08.1,523,523
51:08.1,522,523
51:08.1,524,522
51:08.1,520,520
51:08.1,520,522
51:08.1,517,518
51:08.1,525,518
51:08.1,531,521
51:08.1,520,519
51:08.1,527,523
51:08.1,520,520
51:08.1,521,521
51:08.1,524,524
51:08.1,524,521
51:08.1,526,520
51:08.1,526,520
51:08.1,523,520
51:08.1,524,520
51:08.1,521,520
51:08.1,525,523
51:08.1,521,522
51:08.1,520,524
51:08.1,525,524
51:08.1,522,520
51:08.1,527,520
51:08.1,525,519
51:08.2,524,518
51:08.2,526,524
51:08.2,522,523
51:08.2,520,520
51:08.2,522,524
51:08.2,520,523
51:08.2,525,520
51:08.2,521,522
51:08.2,526,523
51:08.2,520,525
51:08.2,521,522
51:08.2,525,518
51:08.2,524,520
51:08.2,519,526
51:08.2,519,524
51:08.2,526,521
51:08.2,527,521
51:08.2,525,520
51:08.2,520,523
51:08.2,523,521
51:08.2,528,520
51:08.2,519,521
51:08.2,522,528
51:08.2,514,524
51:08.2,521,523
51:08.2,522,522
