Time,I,Q
13:01:43.526,526,524
13:01:43.526,521,521
13:01:43.526,524,520
13:01:43.526,523,522
13:01:43.526,518,517
13:01:43.526,526,520
13:01:43.526,523,522
13:01:43.526,524,524
13:01:43.526,519,520
13:01:43.526,527,521
13:01:43.526,524,524
13:01:43.526,518,521
13:01:43.526,528,521
13:01:43.526,527,518
13:01:43.526,520,522
13:01:43.573,523,523
13:01:43.573,521,523
13:01:43.573,519,519
13:01:43.573,523,526
13:01:43.573,518,523
13:01:43.573,524,525
13:01:43.573,526,521
13:01:43.573,523,524
13:01:43.573,521,519
13:01:43.573,526,523
13:01:43.573,519,521
13:01:43.573,522,519
13:01:43.573,524,517
13:01:43.573,530,517
13:01:43.573,522,519
13:01:43.573,526,520
13:01:43.573,525,525
13:01:43.573,519,524
13:01:43.573,517,522
13:01:43.573,520,524
13:01:43.573,520,523
13:01:43.621,520,522
13:01:43.621,521,521
13:01:43.621,527,524
13:01:43.621,524,520
13:01:43.621,529,525
13:01:43.621,515,521
13:01:43.621,524,523
13:01:43.621,522,523
13:01:43.621,519,522
13:01:43.621,521,524
13:01:43.621,518,521
13:01:43.621,521,528
13:01:43.621,522,519
13:01:43.621,525,521
13:01:43.621,529,520
13:01:43.621,524,527
13:01:43.621,520,524
13:01:43.621,522,524
13:01:43.621,516,519
13:01:43.621,528,522
13:01:43.668,523,518
13:01:43.668,525,520
13:01:43.668,524,524
13:01:43.668,522,522
13:01:43.668,527,522
13:01:43.668,520,523
13:01:43.668,517,520
13:01:43.668,524,521
13:01:43.668,523,520
13:01:43.668,520,521
13:01:43.668,516,519
13:01:43.668,520,523
13:01:43.668,516,524
13:01:43.668,520,523
13:01:43.668,524,524
13:01:43.668,518,521
13:01:43.668,531,522
13:01:43.668,527,519
13:01:43.668,527,527
13:01:43.668,520,523
13:01:43.668,521,520
13:01:43.715,524,518
13:01:43.715,527,525
13:01:43.715,517,521
13:01:43.715,525,521
13:01:43.715,524,523
13:01:43.715,522,519
13:01:43.715,522,520
13:01:43.715,529,519
13:01:43.715,518,519
13:01:43.715,525,519
13:01:43.715,520,523
13:01:43.715,520,522
13:01:43.715,522,521
13:01:43.715,522,522
13:01:43.715,519,520
13:01:43.715,521,522
13:01:43.715,521,523
13:01:43.715,525,523
13:01:43.715,522,520
13:01:43.715,522,519
13:01:43.761,526,521
13:01:43.761,522,522
13:01:43.761,521,520
13:01:43.761,528,521
13:01:43.761,524,518
13:01:43.761,521,521
13:01:43.761,526,517
13:01:43.761,529,523
13:01:43.761,520,516
13:01:43.761,528,520
13:01:43.761,524,526
13:01:43.761,517,526
13:01:43.761,523,520
13:01:43.761,521,523
13:01:43.761,516,520
13:01:43.761,524,524
13:01:43.761,526,519
13:01:43.761,521,523
13:01:43.761,517,523
13:01:43.761,523,521
13:01:43.808,521,525
13:01:43.808,525,524
13:01:43.808,522,521
13:01:43.808,519,524
13:01:43.808,523,520
13:01:43.808,522,525
13:01:43.808,520,524
13:01:43.808,523,520
13:01:43.808,520,526
13:01:43.808,521,522
13:01:43.808,520,523
13:01:43.808,527,522
13:01:43.808,519,525
13:01:43.808,523,523
13:01:43.808,522,520
13:01:43.808,523,525
13:01:43.808,517,524
13:01:43.808,518,519
13:01:43.808,524,519
13:01:43.808,524,516
13:01:43.855,527,522
13:01:43.855,523,522
13:01:43.855,523,522
13:01:43.855,521,521
13:01:43.855,521,522
13:01:43.855,526,520
13:01:43.855,527,522
13:01:43.855,525,521
13:01:43.855,517,520
13:01:43.855,524,522
13:01:43.855,522,521
13:01:43.855,523,524
13:01:43.855,525,523
13:01:43.855,526,522
13:01:43.855,525,522
13:01:43.855,529,519
13:01:43.855,529,520
13:01:43.855,521,518
13:01:43.855,526,521
13:01:43.855,522,524
13:01:43.902,522,522
13:01:43.902,519,521
13:01:43.902,524,521
13:01:43.902,521,522
13:01:43.902,519,522
13:01:43.902,523,519
13:01:43.902,520,522
13:01:43.902,524,523
13:01:43.902,519,522
13:01:43.902,521,522
13:01:43.902,526,522
13:01:43.902,520,522
13:01:43.902,523,519
13:01:43.902,529,517
13:01:43.902,526,516
13:01:43.902,525,521
13:01:43.902,524,520
13:01:43.902,522,524
13:01:43.902,526,523
13:01:43.902,517,522
13:01:43.949,521,525
13:01:43.949,523,527
13:01:43.949,516,526
13:01:43.949,521,526
13:01:43.949,520,526
13:01:43.949,516,521
13:01:43.949,525,522
13:01:43.949,523,523
13:01:43.949,521,525
13:01:43.949,514,523
13:01:43.949,524,521
13:01:43.949,522,523
13:01:43.949,523,518
13:01:43.949,525,524
13:01:43.949,524,523
13:01:43.949,521,526
13:01:43.949,520,521
13:01:43.949,520,520
13:01:43.949,525,522
13:01:43.949,526,525
13:01:43.996,520,523
13:01:43.996,520,521
13:01:43.996,519,520
13:01:43.996,526,520
13:01:43.996,523,519
13:01:43.996,526,521
13:01:43.996,522,521
13:01:43.996,524,525
13:01:43.996,520,527
13:01:43.996,519,518
13:01:43.996,527,518
13:01:43.996,525,519
13:01:43.996,523,520
13:01:43.996,522,525
13:01:43.996,517,522
13:01:43.996,517,522
13:01:43.996,521,519
13:01:43.996,522,523
13:01:43.996,519,522
13:01:43.996,526,522
13:01:43.996,523,523
13:01:44.042,525,522
13:01:44.042,524,523
13:01:44.042,518,521
13:01:44.042,524,521
13:01:44.042,519,524
13:01:44.042,522,522
13:01:44.042,522,522
13:01:44.042,521,520
