Time,I,Q
29:51.3,518,525
29:51.3,523,526
29:51.3,517,523
29:51.3,522,526
29:51.4,519,523
29:51.4,522,521
29:51.4,526,521
29:51.4,522,526
29:51.4,517,521
29:51.4,520,523
29:51.4,524,522
29:51.4,525,519
29:51.4,519,523
29:51.4,522,520
29:51.4,522,518
29:51.4,525,520
29:51.4,525,520
29:51.4,524,523
29:51.4,525,524
29:51.4,523,524
29:51.4,518,524
29:51.4,519,521
29:51.4,521,523
29:51.4,521,522
29:51.4,520,526
29:51.4,524,521
29:51.4,532,521
29:51.4,523,520
29:51.4,526,524
29:51.4,524,520
29:51.4,523,521
29:51.4,525,522
29:51.4,517,519
29:51.4,528,522
29:51.4,532,519
29:51.4,529,519
29:51.4,527,522
29:51.4,521,522
29:51.4,521,523
29:51.4,521,523
29:51.4,522,521
29:51.4,523,520
29:51.4,522,521
29:51.4,522,523
29:51.4,525,521
29:51.4,522,522
29:51.4,521,525
29:51.4,523,522
29:51.4,521,521
29:51.4,518,523
29:51.4,519,521
29:51.4,521,521
29:51.4,522,522
29:51.4,521,519
29:51.4,519,520
29:51.4,527,517
29:51.4,524,522
29:51.4,520,524
29:51.4,521,525
29:51.4,522,521
29:51.4,522,524
29:51.4,522,521
29:51.4,524,518
29:51.4,527,522
29:51.5,518,521
29:51.5,517,522
29:51.5,522,521
29:51.5,525,523
29:51.5,522,520
29:51.5,521,521
29:51.5,529,524
29:51.5,521,524
29:51.5,523,521
29:51.5,525,522
29:51.5,517,522
29:51.5,525,520
29:51.5,529,523
29:51.5,521,521
29:51.5,523,523
29:51.5,521,524
29:51.5,522,524
29:51.5,519,520
29:51.5,522,520
29:51.5,526,523
29:51.5,524,517
29:51.5,527,521
29:51.5,521,518
29:51.5,530,520
29:51.5,515,520
29:51.5,522,521
29:51.5,527,523
29:51.5,523,524
29:51.5,524,517
29:51.5,524,520
29:51.5,524,521
29:51.5,518,519
29:51.5,526,521
29:51.5,525,520
29:51.5,521,519
29:51.5,520,528
29:51.5,518,527
29:51.5,523,521
29:51.5,519,521
29:51.5,520,522
29:51.5,521,519
29:51.6,525,523
29:51.6,525,520
29:51.6,525,523
29:51.6,524,518
29:51.6,526,521
29:51.6,521,522
29:51.6,524,522
29:51.6,523,522
29:51.6,520,521
29:51.6,516,526
29:51.6,520,523
29:51.6,521,521
29:51.6,524,517
29:51.6,532,519
29:51.6,527,521
29:51.6,524,522
29:51.6,522,518
29:51.6,528,520
29:51.6,523,523
29:51.6,522,524
29:51.6,522,521
29:51.6,526,524
29:51.6,518,521
29:51.6,522,526
29:51.6,523,519
29:51.6,521,519
29:51.6,525,525
29:51.6,521,521
29:51.6,521,524
29:51.6,519,524
29:51.6,522,519
29:51.6,527,525
29:51.6,521,521
29:51.6,522,522
29:51.6,530,522
29:51.6,520,521
29:51.6,523,520
29:51.6,526,520
