Time,I,Q
51:08.6,527,519
51:08.6,524,522
51:08.6,519,525
51:08.6,519,522
51:08.6,515,520
51:08.6,523,520
51:08.6,524,525
51:08.6,523,523
51:08.6,518,526
51:08.6,518,518
51:08.6,520,524
51:08.6,523,525
51:08.6,518,521
51:08.6,523,524
51:08.6,524,524
51:08.6,520,522
51:08.6,520,530
51:08.6,523,523
51:08.6,519,519
51:08.6,523,522
51:08.6,529,519
51:08.6,523,521
51:08.6,522,521
51:08.6,520,521
51:08.6,521,525
51:08.6,520,521
51:08.6,528,520
51:08.6,522,519
51:08.6,528,516
51:08.6,521,520
51:08.6,518,522
51:08.6,517,518
51:08.6,523,521
51:08.6,524,523
51:08.6,522,522
51:08.6,527,522
51:08.6,532,524
51:08.6,525,525
51:08.7,519,524
51:08.7,519,521
51:08.7,522,525
51:08.7,516,527
51:08.7,516,521
51:08.7,522,518
51:08.7,525,524
51:08.7,523,520
51:08.7,528,522
51:08.7,524,528
51:08.7,520,520
51:08.7,517,523
51:08.7,525,525
51:08.7,518,521
51:08.7,523,523
51:08.7,520,522
51:08.7,519,521
51:08.7,521,523
51:08.7,526,520
51:08.7,527,517
51:08.7,528,524
51:08.7,522,523
51:08.7,524,519
51:08.7,527,520
51:08.7,524,520
51:08.7,521,521
51:08.7,520,521
51:08.7,526,523
51:08.7,522,524
51:08.7,526,521
51:08.7,525,525
51:08.7,520,525
51:08.7,523,524
51:08.7,520,519
51:08.7,531,521
51:08.7,523,522
51:08.7,522,521
51:08.7,526,520
51:08.7,522,521
51:08.7,524,528
51:08.7,516,523
51:08.7,519,524
51:08.7,519,522
51:08.8,522,520
51:08.8,526,522
51:08.8,525,519
51:08.8,526,522
51:08.8,524,523
51:08.8,524,524
51:08.8,518,523
51:08.8,520,521
51:08.8,522,521
51:08.8,522,519
51:08.8,525,522
51:08.8,522,523
51:08.8,517,524
51:08.8,517,522
51:08.8,521,519
51:08.8,527,526
51:08.8,522,523
51:08.8,521,524
51:08.8,525,520
51:08.8,525,524
51:08.8,525,524
51:08.8,517,522
51:08.8,524,521
51:08.8,521,519
51:08.8,525,522
51:08.8,523,522
51:08.8,520,521
51:08.8,526,524
51:08.8,519,524
51:08.8,520,520
51:08.8,525,521
51:08.8,526,526
51:08.8,523,521
51:08.8,522,517
51:08.8,525,524
51:08.8,519,521
51:08.8,520,522
51:08.8,523,524
51:08.8,526,521
51:08.8,524,522
51:08.8,522,523
51:08.8,522,524
51:08.8,520,522
51:08.9,522,522
51:08.9,521,522
51:08.9,522,522
51:08.9,526,522
51:08.9,519,522
51:08.9,528,520
51:08.9,520,523
51:08.9,524,523
51:08.9,526,524
51:08.9,519,518
51:08.9,521,522
51:08.9,522,519
51:08.9,524,523
51:08.9,521,521
51:08.9,522,523
51:08.9,524,523
51:08.9,522,521
51:08.9,519,522
51:08.9,523,521
51:08.9,527,519
51:08.9,521,522
51:08.9,526,520
51:08.9,522,521
51:08.9,523,521
51:08.9,522,520
51:08.9,523,523
51:08.9,529,518
51:08.9,524,523
51:08.9,527,522
51:08.9,523,524
51:08.9,518,523
51:08.9,521,526
51:08.9,516,519
51:08.9,520,523
51:08.9,525,522
51:08.9,521,520
51:08.9,518,525
51:08.9,520,524
51:08.9,525,524
51:08.9,521,522
51:08.9,521,524
51:08.9,524,522
51:08.9,522,519
51:09.0,524,521
51:09.0,526,526
51:09.0,524,522
51:09.0,522,520
51:09.0,523,522
51:09.0,525,521
51:09.0,527,517
51:09.0,524,520
51:09.0,518,519
51:09.0,527,522
51:09.0,524,522
51:09.0,520,522
51:09.0,519,520
51:09.0,520,519
51:09.0,525,523
51:09.0,521,522
51:09.0,519,523
51:09.0,522,524
51:09.0,526,522
51:09.0,523,524
51:09.0,526,521
51:09.0,525,524
51:09.0,515,516
51:09.0,526,519
51:09.0,524,519
51:09.0,524,524
51:09.0,522,525
51:09.0,522,521
51:09.0,521,522
51:09.0,527,519
51:09.0,523,520
51:09.0,525,521
51:09.0,523,523
51:09.0,519,522
51:09.0,528,522
51:09.0,524,524
51:09.0,519,520
51:09.0,527,524
51:09.0,519,518
51:09.0,525,520
51:09.0,523,521
51:09.0,527,524
51:09.0,516,520
51:09.1,524,521
51:09.1,522,520
51:09.1,523,519
51:09.1,526,521
51:09.1,522,523
51:09.1,521,522
51:09.1,521,522
51:09.1,521,525
51:09.1,519,523
51:09.1,516,524
51:09.1,515,524
51:09.1,521,521
51:09.1,522,522
51:09.1,516,520
51:09.1,516,519
51:09.1,524,521
51:09.1,520,522
51:09.1,522,519
51:09.1,522,521
51:09.1,525,523
51:09.1,524,523
51:09.1,525,527
51:09.1,519,524
51:09.1,519,525
51:09.1,516,522
51:09.1,524,521
51:09.1,526,525
51:09.1,520,521
51:09.1,522,522
51:09.1,523,520
51:09.1,523,518
51:09.1,528,522
51:09.1,521,525
51:09.1,521,523
51:09.1,524,522
51:09.1,523,523
51:09.1,519,524
51:09.1,521,525
51:09.1,517,524
51:09.1,521,523
51:09.1,520,523
51:09.1,527,522
51:09.1,522,522
