Time ,I,Q
06:58.5,526,519
06:58.5,530,525
06:58.5,520,522
06:58.5,524,523
06:58.6,519,524
06:58.6,522,521
06:58.6,517,520
06:58.6,522,524
06:58.6,521,521
06:58.6,522,521
06:58.6,526,519
06:58.6,515,525
06:58.6,520,523
06:58.6,523,523
06:58.6,524,522
06:58.6,523,523
06:58.6,524,523
06:58.6,524,522
06:58.6,526,519
06:58.6,524,521
06:58.6,522,525
06:58.6,522,524
06:58.6,525,522
06:58.6,525,521
06:58.6,522,522
06:58.6,521,524
06:58.6,524,521
06:58.6,526,519
06:58.6,523,519
06:58.6,524,520
06:58.6,527,520
06:58.6,527,526
06:58.6,518,522
06:58.6,521,522
06:58.6,521,519
06:58.6,523,524
06:58.6,521,518
06:58.6,521,522
06:58.6,518,523
06:58.6,522,522
06:58.6,523,518
06:58.6,525,521
06:58.6,522,525
06:58.6,516,523
06:58.6,517,520
06:58.6,524,524
06:58.6,527,523
06:58.6,525,523
06:58.6,520,523
06:58.6,523,522
06:58.6,521,523
06:58.6,521,520
06:58.6,521,521
06:58.6,519,521
06:58.6,527,521
06:58.6,524,522
06:58.6,526,522
06:58.6,519,521
06:58.6,520,521
06:58.7,521,522
06:58.7,526,523
06:58.7,519,521
06:58.7,523,523
06:58.7,523,524
06:58.7,520,522
06:58.7,520,520
06:58.7,525,520
06:58.7,528,523
06:58.7,528,521
06:58.7,524,523
06:58.7,525,519
06:58.7,527,518
06:58.7,522,520
06:58.7,524,520
06:58.7,524,524
06:58.7,518,523
06:58.7,519,522
06:58.7,524,518
06:58.7,524,522
06:58.7,520,519
06:58.7,520,522
06:58.7,524,523
06:58.7,525,523
06:58.7,523,523
06:58.7,520,522
06:58.7,523,519
06:58.7,521,520
06:58.7,525,524
06:58.7,522,525
06:58.7,521,522
06:58.7,523,519
06:58.7,524,517
06:58.7,523,522
06:58.8,521,521
06:58.8,521,521
06:58.8,517,519
06:58.8,521,523
06:58.8,523,522
06:58.8,522,523
06:58.8,523,522
06:58.8,528,521
06:58.8,524,521
06:58.8,521,524
06:58.8,523,522
06:58.8,524,523
06:58.8,521,520
06:58.8,526,525
06:58.8,520,522
06:58.8,519,519
06:58.8,523,522
06:58.8,525,520
06:58.8,524,523
06:58.8,521,523
06:58.8,525,519
06:58.8,528,523
06:58.8,519,520
06:58.8,524,519
06:58.8,527,521
06:58.8,523,522
06:58.8,518,521
06:58.8,517,523
06:58.8,526,523
06:58.8,516,522
06:58.8,515,524
06:58.8,520,520
06:58.8,529,522
06:58.8,522,523
06:58.8,523,522
06:58.8,519,522
06:58.8,518,520
06:58.8,522,523
06:58.8,519,522
06:58.8,523,523
06:58.9,527,524
06:58.9,519,522
06:58.9,521,520
06:58.9,525,521
06:58.9,524,522
06:58.9,525,520
06:58.9,524,520
06:58.9,525,526
06:58.9,522,527
06:58.9,520,525
06:58.9,521,521
06:58.9,523,523
06:58.9,521,519
06:58.9,525,520
06:58.9,524,517
06:58.9,523,524
06:58.9,526,521
06:58.9,523,523
06:58.9,520,522
06:58.9,527,522
06:58.9,522,519
06:58.9,526,518
06:58.9,531,520
06:58.9,519,522
06:58.9,520,520
06:58.9,528,521
06:58.9,520,522
06:58.9,519,519
06:58.9,520,521
06:58.9,522,519
06:58.9,521,520
06:58.9,524,524
06:58.9,522,522
06:58.9,522,526
06:58.9,518,522
06:58.9,522,526
06:58.9,523,523
06:58.9,518,524
06:58.9,521,523
06:58.9,522,523
06:58.9,522,521
06:58.9,523,523
06:58.9,521,521
06:58.9,524,521
06:58.9,530,524
06:58.9,519,522
06:58.9,519,521
06:58.9,523,520
06:58.9,527,521
06:58.9,527,522
06:59.0,523,525
06:59.0,522,525
06:59.0,521,522
06:59.0,529,519
06:59.0,522,520
06:59.0,525,523
06:59.0,514,520
06:59.0,523,521
06:59.0,520,520
06:59.0,523,522
06:59.0,518,523
06:59.0,523,524
06:59.0,524,523
06:59.0,524,521
06:59.0,521,519
06:59.0,521,523
06:59.0,527,522
06:59.0,524,520
06:59.0,525,523
06:59.0,525,523
06:59.0,524,519
06:59.0,519,522
06:59.0,518,523
06:59.0,527,521
06:59.0,523,523
06:59.0,523,521
06:59.0,519,518
06:59.0,523,522
06:59.0,526,523
06:59.0,523,525
06:59.0,521,524
06:59.0,523,518
06:59.0,522,520
06:59.0,526,525
06:59.0,526,521
06:59.1,527,519
06:59.1,520,523
06:59.1,521,522
06:59.1,522,520
06:59.1,524,523
06:59.1,521,523
06:59.1,521,521
06:59.1,521,522
06:59.1,527,523
06:59.1,523,524
06:59.1,517,523
06:59.1,519,521
06:59.1,524,519
06:59.1,520,520
06:59.1,522,523
06:59.1,523,517
06:59.1,527,518
06:59.1,524,520
06:59.1,519,523
06:59.1,515,522
06:59.1,525,523
06:59.1,523,523
06:59.1,517,521
06:59.1,519,523
06:59.1,519,523
06:59.1,521,522
06:59.1,521,521
06:59.1,523,521
06:59.1,524,525
06:59.1,521,521
06:59.1,525,519
06:59.1,527,520
06:59.1,518,523
06:59.1,522,520
06:59.1,522,524
06:59.1,518,522
06:59.1,527,521
06:59.1,521,524
06:59.1,526,522
06:59.1,522,524
06:59.1,527,520
06:59.1,524,522
06:59.1,525,524
06:59.1,516,523
