Time,I,Q
13:14:54.327,539,525
13:14:54.327,521,522
13:14:54.327,527,522
13:14:54.327,525,523
13:14:54.327,521,522
13:14:54.327,522,522
13:14:54.327,522,522
13:14:54.327,522,523
13:14:54.327,517,522
13:14:54.327,524,524
13:14:54.327,521,522
13:14:54.327,525,521
13:14:54.327,519,522
13:14:54.327,521,521
13:14:54.380,524,520
13:14:54.380,524,522
13:14:54.380,525,521
13:14:54.380,518,522
13:14:54.380,521,523
13:14:54.380,523,524
13:14:54.380,529,521
13:14:54.380,517,524
13:14:54.380,518,524
13:14:54.380,520,525
13:14:54.380,522,523
13:14:54.380,523,524
13:14:54.380,523,522
13:14:54.380,520,521
13:14:54.380,530,525
13:14:54.380,517,522
13:14:54.380,521,524
13:14:54.380,522,527
13:14:54.380,516,526
13:14:54.380,516,525
13:14:54.380,518,526
13:14:54.380,517,526
13:14:54.380,521,525
13:14:54.434,517,525
13:14:54.434,517,524
13:14:54.434,526,526
13:14:54.434,520,524
13:14:54.434,523,522
13:14:54.434,524,522
13:14:54.434,518,525
13:14:54.434,525,520
13:14:54.434,516,523
13:14:54.434,524,520
13:14:54.434,529,523
13:14:54.434,532,522
13:14:54.434,522,525
13:14:54.434,520,520
13:14:54.434,520,521
13:14:54.434,524,523
13:14:54.434,518,522
13:14:54.434,522,521
13:14:54.434,521,526
13:14:54.434,520,524
13:14:54.434,528,523
13:14:54.434,524,523
13:14:54.434,524,524
13:14:54.481,526,522
13:14:54.481,527,522
13:14:54.481,528,524
13:14:54.481,524,524
13:14:54.481,522,522
13:14:54.481,527,524
13:14:54.481,524,521
13:14:54.481,523,522
13:14:54.481,521,522
13:14:54.481,522,521
13:14:54.481,519,521
13:14:54.481,517,522
13:14:54.481,523,522
13:14:54.481,521,520
13:14:54.481,522,524
13:14:54.481,524,522
13:14:54.481,521,520
13:14:54.481,521,522
13:14:54.481,522,521
13:14:54.481,522,519
13:14:54.527,526,523
13:14:54.527,521,524
13:14:54.527,518,523
13:14:54.527,526,522
13:14:54.527,526,522
13:14:54.527,520,522
13:14:54.527,529,523
13:14:54.527,525,524
13:14:54.527,522,522
13:14:54.527,523,524
13:14:54.527,521,522
13:14:54.527,520,524
13:14:54.527,518,521
13:14:54.527,523,522
13:14:54.527,525,521
13:14:54.527,526,521
13:14:54.527,523,521
13:14:54.527,522,522
13:14:54.527,518,520
13:14:54.527,518,521
13:14:54.581,524,521
13:14:54.581,528,523
13:14:54.581,524,524
13:14:54.581,524,522
13:14:54.581,520,524
13:14:54.581,523,523
13:14:54.581,522,522
13:14:54.581,525,521
13:14:54.581,524,523
13:14:54.581,526,522
13:14:54.581,523,523
13:14:54.581,522,523
13:14:54.581,526,525
13:14:54.581,522,524
13:14:54.581,520,523
13:14:54.581,524,524
13:14:54.581,524,524
13:14:54.581,517,523
13:14:54.581,523,523
13:14:54.581,520,521
13:14:54.581,524,522
13:14:54.581,520,522
13:14:54.581,521,523
13:14:54.628,529,523
13:14:54.628,523,522
13:14:54.628,520,520
13:14:54.628,522,521
13:14:54.628,522,525
13:14:54.628,518,523
13:14:54.628,522,523
13:14:54.628,519,524
13:14:54.628,518,523
13:14:54.628,522,522
13:14:54.628,523,525
13:14:54.628,525,520
13:14:54.628,521,521
13:14:54.628,524,524
13:14:54.628,517,521
13:14:54.628,518,523
13:14:54.628,515,521
13:14:54.628,517,523
13:14:54.628,521,523
13:14:54.628,519,521
13:14:54.628,527,524
13:14:54.681,521,523
13:14:54.681,524,522
13:14:54.681,521,522
13:14:54.681,524,522
13:14:54.681,524,524
13:14:54.681,527,522
13:14:54.681,526,524
13:14:54.681,522,524
13:14:54.681,521,524
13:14:54.681,520,522
13:14:54.681,525,524
13:14:54.681,524,525
13:14:54.681,525,522
13:14:54.681,522,522
13:14:54.681,527,523
13:14:54.681,522,523
13:14:54.681,522,524
13:14:54.681,524,524
13:14:54.681,527,526
13:14:54.681,526,525
13:14:54.681,523,521
13:14:54.681,527,523
13:14:54.728,524,522
13:14:54.728,519,522
13:14:54.728,521,523
13:14:54.728,524,520
13:14:54.728,522,521
13:14:54.728,521,521
13:14:54.728,519,520
13:14:54.728,523,519
13:14:54.728,527,521
13:14:54.728,521,524
13:14:54.728,524,522
13:14:54.728,519,523
13:14:54.728,521,521
13:14:54.728,524,523
13:14:54.728,519,522
13:14:54.728,522,521
13:14:54.728,528,523
13:14:54.728,529,523
13:14:54.728,524,523
13:14:54.728,520,523
13:14:54.728,521,525
13:14:54.781,518,521
13:14:54.781,519,522
13:14:54.781,521,521
13:14:54.781,529,521
13:14:54.781,523,523
13:14:54.781,516,523
13:14:54.781,519,523
13:14:54.781,524,524
13:14:54.781,524,521
13:14:54.781,525,525
13:14:54.781,530,522
13:14:54.781,525,524
13:14:54.781,522,522
13:14:54.781,525,521
13:14:54.781,523,524
13:14:54.781,524,523
13:14:54.781,523,524
13:14:54.781,514,524
13:14:54.781,524,522
13:14:54.781,526,524
13:14:54.781,519,522
13:14:54.781,519,522
13:14:54.781,523,521
13:14:54.828,524,522
13:14:54.828,526,524
13:14:54.828,522,524
13:14:54.828,518,523
13:14:54.828,521,522
13:14:54.828,526,525
13:14:54.828,518,524
13:14:54.828,520,524
13:14:54.828,526,524
13:14:54.828,521,523
13:14:54.828,523,522
13:14:54.828,531,523
13:14:54.828,520,522
13:14:54.828,519,523
13:14:54.828,526,521
13:14:54.828,519,523
13:14:54.828,524,521
13:14:54.828,522,524
13:14:54.828,517,521
13:14:54.828,518,521
13:14:54.882,524,523
13:14:54.882,526,522
13:14:54.882,522,523
13:14:54.882,520,523
13:14:54.882,520,522
13:14:54.882,526,521
13:14:54.882,520,523
13:14:54.882,527,524
13:14:54.882,519,522
13:14:54.882,520,523
13:14:54.882,526,523
13:14:54.882,523,523
13:14:54.882,520,523
13:14:54.882,526,526
13:14:54.882,526,524
13:14:54.882,522,523
13:14:54.882,523,520
13:14:54.882,527,523
13:14:54.882,528,522
13:14:54.882,522,521
13:14:54.882,523,524
13:14:54.882,521,521
13:14:54.882,518,521
13:14:54.929,524,524
13:14:54.929,517,522
13:14:54.929,532,521
13:14:54.929,522,520
13:14:54.929,523,520
13:14:54.929,518,521
13:14:54.929,526,522
13:14:54.929,520,523
13:14:54.929,524,521
13:14:54.929,525,523
13:14:54.929,523,522
13:14:54.929,525,522
13:14:54.929,523,524
13:14:54.929,521,522
13:14:54.929,522,521
13:14:54.929,522,523
13:14:54.929,523,520
13:14:54.929,523,523
13:14:54.929,519,524
13:14:54.929,520,521
13:14:54.982,524,524
13:14:54.982,520,524
13:14:54.982,518,525
13:14:54.982,524,524
13:14:54.982,523,524
13:14:54.982,519,523
13:14:54.982,524,524
13:14:54.982,524,523
13:14:54.982,521,524
13:14:54.982,524,522
13:14:54.982,521,525
13:14:54.982,520,521
13:14:54.982,522,522
13:14:54.982,523,521
13:14:54.982,517,521
13:14:54.982,524,521
13:14:54.982,520,521
13:14:54.982,522,523
13:14:54.982,520,521
13:14:54.982,524,521
13:14:54.982,522,520
13:14:54.982,524,522
13:14:54.982,524,520
13:14:55.029,523,523
13:14:55.029,522,525
13:14:55.029,520,523
13:14:55.029,517,526
13:14:55.029,522,526
13:14:55.029,520,524
13:14:55.029,524,525
13:14:55.029,521,522
13:14:55.029,533,522
13:14:55.029,519,523
13:14:55.029,518,524
13:14:55.029,523,522
13:14:55.029,526,523
13:14:55.029,520,524
13:14:55.029,520,523
13:14:55.029,523,524
13:14:55.029,525,524
13:14:55.029,521,522
13:14:55.029,524,523
13:14:55.029,524,524
13:14:55.082,526,523
13:14:55.082,524,524
13:14:55.082,521,519
13:14:55.082,527,524
13:14:55.082,523,522
13:14:55.082,522,521
13:14:55.082,524,522
13:14:55.082,523,524
13:14:55.082,517,523
13:14:55.082,518,523
13:14:55.082,521,521
13:14:55.082,530,523
13:14:55.082,529,521
13:14:55.082,521,523
13:14:55.082,517,522
13:14:55.082,524,522
13:14:55.082,523,523
13:14:55.082,524,523
13:14:55.082,516,522
13:14:55.082,523,526
13:14:55.082,528,523
13:14:55.082,527,523
13:14:55.082,523,522
13:14:55.129,521,523
13:14:55.129,524,522
13:14:55.129,524,523
13:14:55.129,525,524
13:14:55.129,528,524
13:14:55.129,523,523
13:14:55.129,527,523
13:14:55.129,519,523
13:14:55.129,523,523
13:14:55.129,524,524
13:14:55.129,524,522
13:14:55.129,521,522
13:14:55.129,520,521
13:14:55.129,529,523
13:14:55.129,524,521
13:14:55.129,523,521
13:14:55.129,522,520
13:14:55.129,516,522
13:14:55.129,521,523
13:14:55.129,524,524
13:14:55.182,518,523
13:14:55.182,522,520
13:14:55.182,529,526
13:14:55.182,516,525
13:14:55.182,517,522
13:14:55.182,519,523
13:14:55.182,523,523
13:14:55.182,524,521
13:14:55.182,523,522
13:14:55.182,521,520
13:14:55.182,519,521
13:14:55.182,519,523
13:14:55.182,521,521
13:14:55.182,522,522
13:14:55.182,529,521
13:14:55.182,528,523
13:14:55.182,518,522
13:14:55.182,530,521
13:14:55.182,528,524
13:14:55.182,524,525
13:14:55.182,520,525
13:14:55.182,524,525
13:14:55.182,518,523
13:14:55.229,519,524
13:14:55.229,521,521
13:14:55.229,525,524
13:14:55.229,524,523
13:14:55.229,520,523
13:14:55.229,518,521
13:14:55.229,523,524
13:14:55.229,528,521
13:14:55.229,520,525
13:14:55.229,517,524
13:14:55.229,524,524
13:14:55.229,526,525
13:14:55.229,516,524
