Time,I,Q
19:36.4,523,528
19:36.4,522,524
19:36.4,524,522
19:36.4,529,522
19:36.4,524,526
19:36.4,518,522
19:36.4,519,521
19:36.4,523,522
19:36.4,524,524
19:36.4,523,529
19:36.4,516,523
19:36.4,522,521
19:36.4,524,524
19:36.4,523,517
19:36.5,524,524
19:36.5,524,525
19:36.5,521,523
19:36.5,525,518
19:36.5,527,523
19:36.5,524,524
19:36.5,522,523
19:36.5,524,523
19:36.5,526,520
19:36.5,524,523
19:36.5,520,524
19:36.5,526,523
19:36.5,521,521
19:36.5,520,521
19:36.5,523,523
19:36.5,525,522
19:36.5,523,523
19:36.5,525,521
19:36.5,522,520
19:36.5,518,521
19:36.5,524,523
19:36.5,522,524
19:36.5,519,521
19:36.5,526,521
19:36.5,521,520
19:36.5,523,519
19:36.5,524,522
19:36.5,517,521
19:36.5,521,524
19:36.5,520,520
19:36.5,525,523
19:36.5,525,521
19:36.5,526,520
19:36.5,520,520
19:36.5,524,518
19:36.5,529,521
19:36.5,520,522
19:36.5,518,522
19:36.5,524,521
19:36.5,521,519
19:36.5,521,520
19:36.5,521,519
19:36.5,523,518
19:36.5,519,518
19:36.6,522,517
19:36.6,526,516
19:36.6,518,516
19:36.6,518,518
19:36.6,523,518
19:36.6,523,516
19:36.6,523,518
19:36.6,526,517
19:36.6,526,513
19:36.6,521,519
19:36.6,520,516
19:36.6,520,514
19:36.6,525,515
19:36.6,524,518
19:36.6,523,512
19:36.6,523,512
19:36.6,525,516
19:36.6,523,517
19:36.6,521,516
19:36.6,519,518
19:36.6,523,521
19:36.6,520,519
19:36.6,522,521
19:36.6,522,521
19:36.6,519,521
19:36.6,520,522
19:36.6,521,523
19:36.6,521,522
19:36.6,518,524
19:36.6,517,521
19:36.6,519,524
19:36.6,518,525
19:36.6,523,524
19:36.6,520,523
19:36.6,521,522
19:36.6,517,523
19:36.6,521,517
19:36.6,519,521
19:36.6,524,524
19:36.6,519,523
19:36.6,520,521
19:36.6,522,522
19:36.6,526,523
19:36.7,516,524
19:36.7,521,522
19:36.7,523,522
19:36.7,522,521
19:36.7,524,523
19:36.7,522,521
19:36.7,523,522
19:36.7,520,524
19:36.7,524,526
19:36.7,532,525
19:36.7,526,524
19:36.7,525,524
19:36.7,520,525
19:36.7,525,525
19:36.7,525,523
19:36.7,528,524
19:36.7,525,523
19:36.7,526,523
19:36.7,530,521
19:36.7,522,521
19:36.7,527,516
19:36.7,527,520
19:36.7,523,519
19:36.7,524,519
19:36.7,527,518
19:36.7,527,518
19:36.7,522,516
19:36.7,526,517
19:36.7,531,517
19:36.7,530,516
19:36.7,525,517
19:36.7,524,518
19:36.7,525,519
19:36.7,521,518
19:36.7,527,520
19:36.7,525,520
19:36.7,527,520
19:36.7,527,519
19:36.7,518,520
19:36.7,522,522
19:36.7,523,523
19:36.7,521,525
19:36.7,516,525
19:36.8,516,519
19:36.8,528,524
19:36.8,516,525
19:36.8,518,523
19:36.8,525,522
19:36.8,522,524
19:36.8,522,522
19:36.8,521,523
19:36.8,523,524
19:36.8,522,519
19:36.8,526,523
19:36.8,522,519
19:36.8,521,519
19:36.8,524,523
19:36.8,521,520
19:36.8,527,521
19:36.8,528,522
19:36.8,522,521
19:36.8,524,522
19:36.8,523,519
19:36.8,522,521
19:36.8,523,521
19:36.8,520,522
19:36.8,525,519
19:36.8,526,524
19:36.8,522,521
19:36.8,518,519
19:36.8,526,522
19:36.8,523,520
19:36.8,521,522
19:36.8,523,526
19:36.8,518,527
19:36.8,517,525
19:36.8,516,526
19:36.8,521,530
19:36.8,516,525
19:36.8,525,524
19:36.8,518,522
19:36.8,525,527
19:36.8,516,522
19:36.8,526,526
19:36.8,520,523
19:36.8,525,524
19:36.9,521,526
19:36.9,524,524
19:36.9,521,524
19:36.9,520,525
19:36.9,523,525
19:36.9,525,526
19:36.9,520,525
19:36.9,523,524
19:36.9,520,522
19:36.9,527,522
19:36.9,524,525
19:36.9,523,528
19:36.9,524,525
19:36.9,522,526
19:36.9,522,526
19:36.9,521,528
19:36.9,520,526
19:36.9,522,524
19:36.9,528,526
19:36.9,518,527
19:36.9,522,524
19:36.9,524,524
19:36.9,518,525
19:36.9,523,527
19:36.9,518,526
19:36.9,522,524
19:36.9,519,526
19:36.9,522,526
19:36.9,517,523
19:36.9,519,523
19:36.9,525,525
19:36.9,519,521
19:36.9,518,523
19:36.9,521,526
19:36.9,521,525
19:36.9,520,527
19:36.9,520,523
19:36.9,522,523
19:36.9,521,525
19:36.9,514,525
19:36.9,522,525
19:36.9,521,525
19:36.9,524,523
19:37.0,522,525
19:37.0,523,524
19:37.0,525,522
19:37.0,518,525
19:37.0,520,524
19:37.0,517,520
19:37.0,522,521
19:37.0,529,522
19:37.0,522,524
19:37.0,521,523
19:37.0,527,523
19:37.0,528,524
19:37.0,525,522
19:37.0,521,524
19:37.0,523,523
19:37.0,527,522
19:37.0,522,524
19:37.0,518,521
19:37.0,527,520
19:37.0,523,521
19:37.0,522,523
19:37.0,522,519
19:37.0,521,520
19:37.0,526,521
19:37.0,525,522
19:37.0,519,521
19:37.0,523,523
19:37.0,524,526
19:37.0,523,520
19:37.0,522,524
19:37.0,518,518
19:37.0,525,524
19:37.0,523,522
19:37.0,523,524
19:37.0,521,521
19:37.0,520,522
19:37.0,515,520
19:37.0,520,520
19:37.0,528,523
19:37.0,520,524
19:37.0,523,524
19:37.0,526,522
19:37.0,527,521
19:37.1,524,521
19:37.1,524,523
19:37.1,522,522
19:37.1,525,519
19:37.1,521,520
19:37.1,521,524
19:37.1,525,521
19:37.1,523,523
19:37.1,531,520
19:37.1,518,522
19:37.1,521,525
19:37.1,522,522
19:37.1,519,522
19:37.1,525,526
19:37.1,516,522
19:37.1,521,523
19:37.1,523,521
19:37.1,523,522
19:37.1,523,522
19:37.1,522,522
19:37.1,526,521
19:37.1,528,524
19:37.1,520,523
19:37.1,519,525
19:37.1,519,524
19:37.1,523,523
19:37.1,522,523
19:37.1,524,522
19:37.1,520,522
19:37.1,519,522
19:37.1,520,525
19:37.1,522,521
19:37.1,523,522
19:37.1,519,516
19:37.1,523,524
19:37.1,521,522
19:37.1,523,519
19:37.1,522,523
19:37.1,525,525
19:37.1,527,520
19:37.1,526,520
19:37.1,523,520
19:37.1,520,523
19:37.2,522,522
19:37.2,521,520
19:37.2,521,518
19:37.2,525,518
19:37.2,526,522
19:37.2,520,521
19:37.2,518,518
19:37.2,525,518
19:37.2,523,520
19:37.2,525,519
19:37.2,526,520
19:37.2,524,520
19:37.2,523,520
19:37.2,522,517
19:37.2,522,518
19:37.2,523,517
19:37.2,524,521
19:37.2,527,519
19:37.2,524,520
19:37.2,518,520
19:37.2,520,517
19:37.2,525,521
19:37.2,521,519
19:37.2,526,522
19:37.2,519,521
19:37.2,530,521
19:37.2,528,519
19:37.2,520,521
19:37.2,520,522
19:37.2,520,519
19:37.2,522,521
19:37.2,524,517
19:37.2,522,522
19:37.2,520,520
19:37.2,522,515
19:37.2,528,518
19:37.2,523,516
19:37.2,518,520
19:37.2,522,519
19:37.2,528,520
19:37.2,522,520
19:37.2,521,521
19:37.2,521,519
19:37.3,521,519
19:37.3,525,520
19:37.3,524,519
19:37.3,525,519
19:37.3,527,519
19:37.3,522,519
