Time,I,Q
13:31:18.246,520,520
13:31:18.246,523,523
13:31:18.246,524,520
13:31:18.246,526,521
13:31:18.246,525,521
13:31:18.246,518,521
13:31:18.246,522,519
13:31:18.246,523,519
13:31:18.246,521,518
13:31:18.246,528,520
13:31:18.246,525,523
13:31:18.246,522,521
13:31:18.246,522,519
13:31:18.246,523,520
13:31:18.246,518,519
13:31:18.246,524,518
13:31:18.246,523,517
13:31:18.246,526,519
13:31:18.246,523,520
13:31:18.246,528,519
13:31:18.246,530,522
13:31:18.246,520,523
13:31:18.293,527,521
13:31:18.293,533,523
13:31:18.293,527,526
13:31:18.293,525,526
13:31:18.293,526,528
13:31:18.293,523,530
13:31:18.293,522,532
13:31:18.293,528,529
13:31:18.293,527,529
13:31:18.293,527,531
13:31:18.293,525,532
13:31:18.293,524,529
13:31:18.293,519,528
13:31:18.293,523,529
13:31:18.293,519,532
13:31:18.293,514,531
13:31:18.293,523,528
13:31:18.293,518,526
13:31:18.293,520,527
13:31:18.293,518,527
13:31:18.346,520,526
13:31:18.346,513,524
13:31:18.346,520,528
13:31:18.346,520,525
13:31:18.346,522,522
13:31:18.346,518,524
13:31:18.346,520,524
13:31:18.346,520,524
13:31:18.346,523,524
13:31:18.346,520,522
13:31:18.346,522,523
13:31:18.346,522,525
13:31:18.346,520,521
13:31:18.346,524,524
13:31:18.346,522,526
13:31:18.346,517,523
13:31:18.346,519,525
13:31:18.346,519,522
13:31:18.346,528,526
13:31:18.346,525,523
13:31:18.346,520,523
13:31:18.346,521,522
13:31:18.346,523,523
13:31:18.393,523,522
13:31:18.393,516,523
13:31:18.393,524,522
13:31:18.393,525,525
13:31:18.393,519,524
13:31:18.393,519,521
13:31:18.393,528,523
13:31:18.393,524,523
13:31:18.393,525,520
13:31:18.393,521,521
13:31:18.393,522,520
13:31:18.393,520,522
13:31:18.393,521,522
13:31:18.393,520,523
13:31:18.393,515,520
13:31:18.393,530,522
13:31:18.393,520,522
13:31:18.393,525,525
13:31:18.393,527,522
13:31:18.393,522,522
13:31:18.447,520,521
13:31:18.447,517,521
13:31:18.447,527,522
13:31:18.447,523,523
13:31:18.447,529,523
13:31:18.447,523,521
13:31:18.447,527,522
13:31:18.447,524,525
13:31:18.447,521,523
13:31:18.447,524,523
13:31:18.447,522,522
13:31:18.447,523,524
13:31:18.447,519,519
13:31:18.447,525,523
13:31:18.447,524,522
13:31:18.447,524,522
13:31:18.447,526,523
13:31:18.447,521,524
13:31:18.447,524,521
13:31:18.447,527,524
13:31:18.447,526,524
13:31:18.447,521,523
13:31:18.447,521,522
13:31:18.493,520,521
13:31:18.493,531,520
13:31:18.493,527,523
13:31:18.493,523,521
13:31:18.493,526,526
13:31:18.493,524,521
13:31:18.493,525,522
13:31:18.493,527,521
13:31:18.493,525,521
13:31:18.493,527,525
13:31:18.493,519,521
13:31:18.493,525,520
13:31:18.493,531,520
13:31:18.493,528,521
13:31:18.493,525,519
13:31:18.493,521,518
13:31:18.493,525,519
13:31:18.493,522,522
13:31:18.493,528,522
13:31:18.493,520,521
13:31:18.493,518,518
13:31:18.546,528,520
13:31:18.546,523,519
13:31:18.546,524,521
13:31:18.546,520,521
13:31:18.546,520,522
13:31:18.546,519,522
13:31:18.546,522,521
13:31:18.546,522,524
13:31:18.546,524,521
13:31:18.546,523,523
13:31:18.546,516,523
13:31:18.546,522,522
13:31:18.546,520,519
13:31:18.546,521,518
13:31:18.546,529,519
13:31:18.546,524,522
13:31:18.546,524,526
13:31:18.546,527,529
13:31:18.546,521,528
13:31:18.546,525,529
13:31:18.546,521,524
13:31:18.546,522,525
13:31:18.593,524,524
13:31:18.593,521,527
13:31:18.593,519,521
13:31:18.593,526,525
13:31:18.593,515,522
13:31:18.593,529,526
13:31:18.593,520,525
13:31:18.593,522,525
13:31:18.593,528,527
13:31:18.593,526,524
13:31:18.593,525,524
13:31:18.593,521,521
13:31:18.593,523,523
13:31:18.593,518,522
13:31:18.593,525,526
13:31:18.593,517,521
13:31:18.593,526,523
13:31:18.593,518,526
13:31:18.593,522,525
13:31:18.593,519,524
13:31:18.593,528,527
13:31:18.647,519,526
13:31:18.647,522,525
13:31:18.647,527,526
13:31:18.647,522,525
13:31:18.647,522,524
13:31:18.647,523,526
13:31:18.647,522,524
13:31:18.647,517,526
13:31:18.647,522,525
13:31:18.647,517,525
13:31:18.647,515,525
13:31:18.647,520,526
13:31:18.647,524,525
13:31:18.647,523,525
13:31:18.647,520,526
13:31:18.647,522,524
13:31:18.647,521,526
13:31:18.647,521,523
13:31:18.647,525,524
13:31:18.647,522,524
13:31:18.647,517,523
13:31:18.647,522,524
13:31:18.694,524,524
13:31:18.694,527,525
13:31:18.694,523,524
13:31:18.694,519,525
13:31:18.694,521,525
13:31:18.694,521,524
13:31:18.694,522,526
13:31:18.694,525,526
13:31:18.694,517,523
13:31:18.694,521,522
13:31:18.694,521,520
13:31:18.694,523,524
13:31:18.694,523,524
13:31:18.694,518,524
13:31:18.694,524,519
13:31:18.694,524,523
13:31:18.694,518,521
13:31:18.694,520,521
