Time,I,Q
13:42:14.114,530,521
13:42:14.114,528,524
13:42:14.114,524,522
13:42:14.114,520,523
13:42:14.114,523,522
13:42:14.114,523,522
13:42:14.114,527,522
13:42:14.114,527,522
13:42:14.114,526,522
13:42:14.114,523,524
13:42:14.114,514,521
13:42:14.114,516,521
13:42:14.161,526,521
13:42:14.161,526,522
13:42:14.161,529,524
13:42:14.161,523,522
13:42:14.161,520,522
13:42:14.161,526,522
13:42:14.161,522,522
13:42:14.161,517,525
13:42:14.161,514,524
13:42:14.161,519,521
13:42:14.161,523,523
13:42:14.161,525,522
13:42:14.161,525,522
13:42:14.161,524,521
13:42:14.161,523,522
13:42:14.161,520,525
13:42:14.161,523,525
13:42:14.161,523,524
13:42:14.161,517,523
13:42:14.161,526,523
13:42:14.161,524,524
13:42:14.214,527,524
13:42:14.214,523,523
13:42:14.214,527,522
13:42:14.214,524,521
13:42:14.214,526,522
13:42:14.214,519,521
13:42:14.214,526,523
13:42:14.214,525,522
13:42:14.214,526,523
13:42:14.214,525,523
13:42:14.214,522,523
13:42:14.214,526,523
13:42:14.214,525,523
13:42:14.214,523,520
13:42:14.214,527,524
13:42:14.214,521,522
13:42:14.214,523,524
13:42:14.214,518,520
13:42:14.214,526,523
13:42:14.214,526,521
13:42:14.214,524,522
13:42:14.214,518,521
13:42:14.261,523,520
13:42:14.261,522,521
13:42:14.261,519,525
13:42:14.261,524,525
13:42:14.261,517,524
13:42:14.261,517,522
13:42:14.261,524,520
13:42:14.261,524,525
13:42:14.261,519,524
13:42:14.261,525,519
13:42:14.261,521,523
13:42:14.261,529,522
13:42:14.261,528,523
13:42:14.261,523,520
13:42:14.261,521,522
13:42:14.261,525,525
13:42:14.261,523,521
13:42:14.261,522,524
13:42:14.261,524,519
13:42:14.261,526,524
13:42:14.261,523,523
13:42:14.314,524,521
13:42:14.314,510,522
13:42:14.314,519,523
13:42:14.314,521,523
13:42:14.314,519,523
13:42:14.314,519,523
13:42:14.314,522,524
13:42:14.314,520,525
13:42:14.314,522,523
13:42:14.314,523,522
13:42:14.314,527,521
13:42:14.314,521,522
13:42:14.314,521,521
13:42:14.314,528,522
13:42:14.314,521,520
13:42:14.314,520,523
13:42:14.314,520,521
13:42:14.314,523,522
13:42:14.314,524,523
13:42:14.314,524,521
13:42:14.314,526,523
13:42:14.314,527,521
13:42:14.314,522,522
13:42:14.361,519,523
13:42:14.361,524,522
13:42:14.361,525,521
13:42:14.361,524,523
13:42:14.361,524,523
13:42:14.361,523,523
13:42:14.361,525,523
13:42:14.361,520,522
13:42:14.361,524,523
13:42:14.361,519,523
13:42:14.361,519,521
13:42:14.361,518,523
13:42:14.361,515,521
13:42:14.361,522,521
13:42:14.361,524,522
13:42:14.361,521,524
13:42:14.361,522,525
13:42:14.361,520,524
13:42:14.361,522,524
